Time Unit,Vervet Population,Leopard Population,Hawk Population,Python Population,Predator Population,Deaths due to Leopard,Deaths due to Hawk,Deaths due to Python,Total Predation Deaths,Starvation Deaths,Average Fear Level,Average Hunger Level,Average Energy Level
1,149,5,5,5,15,0,0,0,0,1,0,554.7174315585938,445.2825684414058
2,149,5,5,5,15,0,0,0,0,1,0,555.1312316313248,444.8687683686751
3,147,5,5,5,15,0,0,0,0,3,0,549.542391165432,450.45760883456774
4,146,5,5,5,15,0,0,0,0,4,0,546.8549716202893,453.1450283797105
5,146,5,5,5,15,0,0,0,0,4,0,547.1521763593898,452.84782364061
6,145,5,5,5,15,0,0,0,0,5,0,544.1754319629906,455.8245680370095
7,145,5,5,5,15,0,0,0,0,5,0,544.1197668503473,455.8802331496526
8,145,5,5,5,15,0,0,0,0,5,0,543.9948720125025,456.0051279874973
9,145,5,5,5,15,0,0,0,0,5,0,543.7657223055536,456.23427769444623
10,145,5,5,5,15,0,0,0,0,5,0,543.3282637153628,456.6717362846371
11,144,5,5,5,15,0,1,0,1,5,0,540.5031994521662,459.4968005478339
12,144,5,5,5,15,0,1,0,1,5,0,539.8453707276581,460.1546292723421
13,144,5,5,5,15,0,1,0,1,5,0,539.047744896573,460.952255103427
14,143,5,5,5,15,0,2,0,2,5,0,535.5204186256929,464.47958137430714
15,142,5,5,5,15,1,2,0,3,5,0,533.00046642136,466.99953357864
16,142,5,5,5,15,1,2,0,3,5,0,532.0349031895918,467.96509681040845
17,141,5,5,5,15,1,3,0,4,5,0,531.7448624451866,468.25513755481336
18,141,5,5,5,15,1,3,0,4,5,0,530.5509236869118,469.44907631308814
19,141,5,5,5,15,1,3,0,4,5,0,529.3566874547744,470.6433125452256
20,141,5,5,5,15,1,3,0,4,5,0,528.1622231007624,471.83777689923755
21,141,5,5,5,15,1,3,0,4,5,0,527.0034030044156,472.99659699558435
22,141,5,5,5,15,1,3,0,4,5,0,525.8443405363425,474.1556594636576
23,140,5,5,5,15,2,3,0,5,5,0,523.0016409621121,476.998359037888
24,140,5,5,5,15,2,3,0,5,5,0,521.8269252600415,478.17307473995857
25,140,5,5,5,15,2,3,0,5,5,0,520.5081490402719,479.4918509597281
26,140,5,5,5,15,2,3,0,5,5,0,519.1891340651588,480.81086593484133
27,140,5,5,5,15,2,3,0,5,5,0,517.7259747793684,482.2740252206316
28,140,5,5,5,15,2,3,0,5,5,0,516.1554085808556,483.84459141914465
29,140,5,5,5,15,2,3,0,5,5,0,514.6205581397467,485.37944186025345
30,140,5,5,5,15,2,3,0,5,5,0,513.0854611312745,486.91453886872563
