Time Unit,Average Fear Level,Average Hunger Level,Average Energy Level
1,0,478.2507468746896,466.19369756975505
2,0,479.4228146872227,464.7396218610007
3,0,478.90374429714717,465.2586922510762
4,0,475.7884473312337,468.0891036891744
5,0,474.98140583338125,468.89614518702706
6,0,473.72307480950957,470.15447621089845
7,0,472.479201587901,471.39834943250713
8,0,471.1106708094889,472.7668802109193
9,0,470.72000176233183,472.86974182741176
10,0,469.0727636522251,474.5169799375186
11,0,461.8705405556782,481.13464079147207
12,0,459.95740621336125,483.047775133789
13,0,457.89381973487104,485.1113616122792
14,0,455.52149703060826,487.483684316542
15,0,452.87553253605137,490.12964881109883
16,0,450.07054367401645,492.93463767313386
17,0,446.831765297046,496.1734160501041
18,0,443.4923817335019,499.51279961364867
19,0,440.0682211518608,502.9369601952896
20,0,436.52875096118123,506.4764303859691
21,0,432.8648439385931,510.14033740855723
22,0,428.9191799079113,514.086001439239
23,0,424.95478780707094,518.0503935400794
24,0,417.92294211051427,524.7853912228189
25,0,413.83847224586975,528.8698610874634
26,0,409.23114744465664,533.4771858886767
27,0,404.76229928557444,537.9460340477589
28,0,400.47547618722996,542.2328571461032
29,0,396.61532438764453,546.0930089456889
30,8,443.3581524122204,499.0502245511302
31,77,419.2638661794376,521.2766743611031
32,77,413.0212924474318,527.5192480931088
33,78,406.4259087570012,533.7914825473472
34,78,403.75997994337257,536.457411360975
35,78,401.2647284093188,538.952662895029
36,78,398.81303811223364,541.4043531921146
37,78,392.89258211949976,546.9981282630137
38,78,390.2627163659847,549.6279940165293
39,78,387.63552137372903,552.2551890087849
40,78,385.2548262603153,554.6358841221984
41,79,379.78449494626915,559.7759446141703
42,79,377.4558420291486,562.1045975312913
43,79,374.65272727645197,564.9077122839877
44,79,371.8505112809864,567.7099282794533
45,79,369.15943440723345,570.4010051532065
46,79,366.48040512213515,573.0800344383044
47,79,364.02439371823993,575.5360458421994
48,79,361.80591380923966,577.7545257511998
49,79,359.7940000558708,579.7664395045683
50,79,357.79787187415127,581.7625676862879
51,79,355.8823051199606,583.6781344404787
52,76,353.4883587933043,585.738160543712
53,76,351.4738917627409,587.7526275742758
54,76,350.18628558215556,589.0402337548611
55,76,349.02184956007693,590.2046697769396
56,76,347.8889510456941,591.3375682913222
57,76,346.701479457501,592.5250398795158
58,76,345.88039436574945,593.3461249712669
59,76,345.23820585012595,593.9883134868901
60,149,387.5984997111823,551.6280196258343
61,242,356.92454468198366,579.491640289115
62,240,352.2737074568218,583.7728041710851
63,240,349.75401577329956,586.2924958546081
64,240,347.56688173084564,588.4796298970617
65,240,345.70496221002634,590.341549417881
66,240,343.87922393228934,592.1672876956177
67,240,342.13230660598,593.9142050219272
68,240,340.7586321726944,595.2878794552123
69,240,339.4400505942873,596.6064610336199
70,238,339.81633284303257,595.8561817768506
71,238,338.5179808439846,597.1545337758984
72,238,337.02563943147237,598.6468751884111
73,238,335.45219601557494,600.2203186043079
74,238,334.12583099222155,601.5466836276618
75,241,325.1070269356735,609.8042156678765
76,241,323.87777587632047,611.0334667272297
77,241,322.478266301867,612.4329763016832
78,241,321.38691709854913,613.5243255050013
79,241,320.1823254849064,614.7289171186441
80,241,319.35049627025154,615.560746333299
81,241,318.4605951797967,616.4506474237538
82,241,317.6632555369415,617.2479870666091
83,241,316.9859618342956,617.9252807692549
84,241,316.36770373289426,618.5435388706563
85,242,311.62078056275567,622.9030289610537
86,242,311.075220316123,623.4485892076866
87,242,310.33945057510914,624.1843589487004
88,242,309.60160792524397,624.9222015985655
89,242,309.03320373718594,625.4906057866236
90,313,354.34341509892636,580.1803944248832
91,319,349.6538564854249,584.4778800415213
92,318,348.15859732067685,585.5763424383589
93,318,346.14906930140717,587.585870457629
94,318,345.05695144435276,588.6779883146833
95,318,344.16843439442033,589.5665053646161
96,316,344.99292083691813,588.3404124964155
97,318,340.63134522939345,592.2954840388994
98,318,340.58874738795515,592.3380818803374
99,318,340.3159620449533,592.6108672233395
100,318,340.15369018569277,592.7731390826
101,318,340.0016330462605,592.9251962220322
102,318,339.899018450518,593.0278108177749
103,318,339.3788330602415,593.5479962080511
104,318,338.94134353433526,593.9854857339574
105,318,338.4955604220681,594.4312688462245
106,318,338.2121856048847,594.7146436634083
107,316,338.1391916128045,594.3761458105084
108,316,337.27518296234183,595.2401544609711
109,316,336.22334414433845,596.2919932789744
110,316,335.595907717121,596.9194297061919
111,316,335.0201559082763,597.4951815150364
112,314,335.6689802331349,596.4297851989633
113,314,334.67343524254005,597.4253301895585
114,314,333.57001894998126,598.5287464821175
115,316,328.37915033112023,603.2978683024202
116,316,327.4131158112607,604.2639028222799
117,316,326.79459645573274,604.8824221778075
118,316,325.2786712929143,606.3983473406263
119,316,324.0991922256525,607.5778264078878
120,381,369.330863124428,562.3461555091124
121,413,350.6300999427848,579.3062057896992
122,413,346.12026715754786,583.8160385749363
123,413,343.11719892976004,586.8191068027244
124,413,340.00613895658546,589.9301667758986
125,413,337.4331625906947,592.5031431417898
126,413,335.2349300396342,594.7013756928498
127,413,333.8024598056875,596.1338459267969
128,413,332.10914152619114,597.8271642062928
129,413,330.3025430182879,599.6337627141962
130,413,328.90225300483297,601.0340527276509
131,413,326.90564299282715,603.0306627396567
132,413,325.31165713258963,604.6246485998946
133,413,323.9775703462499,605.9587353862341
134,413,322.854553504551,607.0817522279332
135,413,321.6287918349803,608.3075138975036
136,413,320.4540461667507,609.4822595657334
137,413,319.0778633188849,610.8584424135994
138,413,318.12180072895654,611.8145050035278
139,413,316.99974488173723,612.9365608507468
140,413,315.71757168345033,614.218734049034
141,413,314.7754369200317,615.1608688124522
142,413,313.5554535991244,616.3808521333597
143,413,312.6113073811165,617.3249983513681
144,413,311.3857077051423,618.550598027342
145,413,310.1682530770878,619.768052655396
146,413,308.38750464159125,621.5488010908925
147,413,306.7972360495818,623.1390696829025
148,413,304.6693122123732,625.2669935201109
149,413,302.6579704728549,627.2783352596291
150,513,347.0139394179427,582.9223663145413
151,470,336.7141369438507,592.3181211206654
152,470,331.5905041116743,597.441753952842
153,470,328.5890800749527,600.4431779895635
154,470,325.6916897763704,603.3405682881458
155,470,323.1072026959863,605.9250553685301
156,470,321.07116271378106,607.9610953507354
157,470,318.8277987007078,610.2044593638083
158,470,317.2734041193828,611.7588539451333
159,470,315.1248139761167,613.9074440883993
160,470,313.5343303787688,615.4979276857474
161,470,312.55115825741655,616.4810998070998
162,470,311.47393267605315,617.5583253884628
163,470,310.2249918916961,618.8072661728199
164,470,309.07991225776544,619.9523458067509
165,470,308.24151769432405,620.7907403701921
166,470,307.308849373957,621.7234086905593
167,470,306.2771691668107,622.7550888977057
168,470,305.2733045855172,623.7589534789993
169,470,304.3687233293985,624.6635347351178
170,470,303.26607913885533,625.7661789256606
171,470,302.3356577639453,626.6966003005712
172,470,301.18612357461467,627.8461344899015
173,470,300.1186595754271,628.9135984890893
174,470,298.8962567953714,630.1360012691446
175,470,298.30714947894063,630.7251085855752
176,470,297.674050688924,631.3582073755924
177,470,297.19937993015316,631.8328781343628
178,470,296.76170801875435,632.270550045762
179,470,295.8931979709385,633.1390600935778
180,536,339.4574600545743,589.5747980099414
181,475,325.3318304004168,602.299748546952
182,475,322.16375750845833,605.46782143891
183,475,319.83555494992,607.7960239974482
184,475,317.9930673857131,609.6385115616555
185,475,317.1977972374643,610.4337817099043
186,475,316.570477745787,611.061101201581
187,475,315.75352708181305,611.8780518655552
188,475,315.19265735751924,612.4389215898491
189,475,314.628514054612,613.0030648927565
190,475,314.2256372730479,613.4059416743206
191,475,313.82018456546945,613.8113943818986
192,475,312.8066584768848,614.824920470483
193,475,312.19265481136864,615.4389241359997
194,475,311.76714728296776,615.8644316644005
195,475,311.6095059821075,616.0220729652614
196,475,311.44347985798095,616.1880990893875
197,475,311.30730289346695,616.3242760539011
198,475,311.3102079710122,616.3213709763564
199,474,306.88095690638073,620.2713609744138
200,474,302.38598003815,624.2806866285164
201,474,302.32058311740946,624.3460835492576
202,474,301.85838657276076,624.8082800939063
203,474,301.34233065972,625.3243360069466
204,473,296.12927657713954,630.0452200671558
205,473,295.54869223825636,630.625804406039
206,473,295.07746451968944,631.0970321246057
207,473,294.5063343572046,631.6681622870911
208,472,294.3359939669527,631.3396817087228
209,472,292.9406967138928,632.7349789617828
210,541,337.61238945788944,588.0632862177864
211,470,336.9365713477907,588.7391043278851
212,470,335.414268995837,590.2614066798387
213,470,334.463681368152,591.2119943075238
214,470,333.6396845221649,592.0359911535106
215,470,332.6391679028679,593.0365077728082
216,470,331.93490553499703,593.7407701406786
217,470,331.0339539215818,594.641721754094
218,470,330.2849762538157,595.39069942186
219,470,329.1212898488779,596.5543858267979
220,470,328.0541371822708,597.6215384934053
221,470,326.49517950750936,599.1804961681668
222,470,325.0208304692643,600.6548452064114
223,469,319.4287195052031,605.7413485220076
224,469,318.2999682271151,606.8700998000962
225,469,317.4018469343659,607.7682210928446
226,469,316.3656753189295,608.8043927082812
227,469,315.42094486480494,609.7491231624059
228,469,314.6322289587662,610.5378390684444
229,469,313.54728379872114,611.622784228489
230,469,312.41756339483385,612.7525046323773
231,469,310.86347824500797,614.306589782203
232,469,308.9386800278421,616.2313879993686
233,469,306.9693352872497,618.2007327399615
234,469,305.2002775950039,619.9697904322067
235,469,303.164030995851,622.0060370313597
236,469,300.6975927219604,624.4724753052504
237,469,298.20226460079067,626.9678034264205
238,469,296.0130922721738,629.1569757550371
239,469,294.1742272792025,630.9958407480088
240,514,337.38695188464874,587.7831161425618
241,469,335.507123095401,589.6629449318096
242,469,331.67958328917933,593.4904847380319
243,469,328.25083077797973,596.9192372492311
244,469,325.40298366664643,599.7670843605646
245,469,322.4031699787567,602.7668980484541
246,469,319.9570827189037,605.2129853083076
247,469,317.43253558219175,607.7375324450193
248,469,315.1632883739672,610.0067796532437
249,469,313.05631155336533,612.1137564738458
250,469,310.9141247049872,614.2559433222239
251,469,308.28381748522224,616.886250541989
252,469,305.44090535581677,619.7291626713944
253,469,302.31765038302996,622.8524176441806
254,469,299.8024423528806,625.3676256743302
255,469,297.3690417808103,627.8010262464005
256,469,294.92996654874173,630.2401014784695
257,469,292.33204934636217,632.8380186808487
258,469,289.941067448585,635.2290005786257
259,469,287.14662653251565,638.0234414946954
260,469,284.38893591435124,640.7811321128596
261,469,281.5081823398804,643.6618856873305
262,469,278.9399944893585,646.2300735378524
263,469,276.07198971452846,649.0980783126826
264,469,273.8091619908632,651.3609060363477
265,469,271.8862173992639,653.283850627947
266,469,270.0257224089479,655.1443456182631
267,469,268.31934966610083,656.8507183611099
268,469,266.6751047049891,658.4949633222219
269,469,265.15036335361873,660.0197046735917
270,488,307.36235696610305,617.8077110611079
271,469,305.48327874919516,619.6867892780155
272,469,302.088516460199,623.0815515670118
273,469,299.3425951422251,625.8274728849859
274,469,296.73103732919714,628.4390306980138
275,469,293.7600895855481,631.4099784416632
276,469,291.43502156817317,633.7350464590376
277,469,289.24977789088706,635.9202901363236
278,469,286.6654670480117,638.504600979199
279,469,284.0894752813848,641.0805927458262
280,469,281.8751413033611,643.2949267238496
281,469,280.02228828128506,645.147779745926
282,469,278.2983377487868,646.8717302784244
283,469,276.9068617059416,648.2632063212695
284,469,275.53708228232307,649.6329857448883
285,469,274.0224404100543,651.1476276171568
286,469,272.8060451824507,652.3640228447604
287,469,271.65136332768435,653.5187046995263
288,469,270.95499439578913,654.2150736314219
289,469,270.0555993578088,655.1144686694021
290,469,269.2104562472711,655.9596117799399
291,469,268.60137798580854,656.5686900414024
292,469,267.94345956375287,657.2266084634583
293,469,267.29752681907087,657.8725412081401
294,469,266.5340510609027,658.6360169663078
295,469,265.78218725577267,659.3878807714383
296,469,264.77271224182056,660.3973557853903
297,469,264.1820902682183,660.9879777589927
298,469,263.80637191292806,661.3636961142829
299,469,263.2418647488239,661.9282032783868
300,497,306.6577055315763,618.5123624956348
301,477,306.32645040717875,618.8436176200319
302,477,304.00408996074395,621.165978066467
303,477,302.7162695859782,622.4537984412332
304,477,301.94674815721015,623.2233198700004
305,477,300.93540079893944,624.2346672282714
306,477,300.79694201010096,624.3731260171102
307,477,300.539710753501,624.6303572737099
308,477,300.26262141842204,624.9074466087886
309,477,300.0151931514022,625.1548748758088
310,477,299.8248485840869,625.3452194431246
311,480,294.5718019774751,630.0857322691
312,480,294.0859477027695,630.571586543806
313,480,293.599558786171,631.0579754604041
314,480,292.73506353559947,631.9224707109756
315,480,291.4783048733907,633.1792293731845
316,480,290.59092462704564,634.0666096195298
317,480,290.3018616981411,634.3556725484344
318,480,289.78340423088906,634.874130015686
319,480,289.55964217953357,635.0978920670418
320,480,289.1677153850621,635.4898188615133
321,480,288.9035306109494,635.7540036356257
322,480,288.7787284370515,635.8788058095239
323,480,288.45982754176333,636.1977067048123
324,480,288.31939970078304,636.3381345457922
325,480,288.0486105649044,636.6089236816711
326,480,287.7086345303185,636.9488997162566
327,480,287.41161243124424,637.2459218153313
328,480,286.91494742940085,637.7425868171745
329,480,285.9020680421015,638.7554662044736
330,498,329.64596387283495,595.0115703737403
331,480,327.80669843102885,596.8508358155468
332,480,325.7194036306481,598.9381306159271
333,480,324.25037465830184,600.4071595882737
334,480,322.6101951425685,602.0473391040073
335,480,321.2077532119034,603.4497810346721
336,480,319.63637215440144,605.0211620921735
337,480,318.28434038762236,606.373193858953
338,480,316.55860433025555,608.0989299163197
339,480,314.79451699831463,609.8630172482606
340,480,312.93421911333974,611.7233151332357
341,480,311.64454216860975,613.0129920779656
342,480,310.75843299537945,613.8991012511958
343,480,310.111479235778,614.5460550107975
344,480,309.75703126239557,614.9005029841796
345,480,308.8052719402358,615.8522623063395
346,480,308.1404832326903,616.5170510138851
347,480,307.3762876233084,617.2812466232668
348,480,306.8835627350687,617.7739715115066
349,480,306.04672915594506,618.6108050906304
350,480,305.3803347297126,619.277199516863
351,480,304.81784482898274,619.8396894175924
352,480,304.2429253000699,620.4146089465057
353,480,304.03219342737805,620.6253408191973
354,480,303.8570341743579,620.8005000722173
355,480,303.2655643981938,621.3919698483818
356,480,302.24750689611284,622.4100273504625
357,480,301.51522668207497,623.1423075645004
358,480,300.69762990816463,623.9599043384111
359,480,299.4688770434062,625.1886572031693
360,508,341.8422810587994,582.8152531877763
361,480,339.66325207083736,584.994282175738
362,480,337.83404677211007,586.8234874744652
363,480,336.29250869635626,588.3650255502189
364,480,334.5364567030188,590.1210775435568
365,480,332.8077555634173,591.849778683158
366,480,331.1649400362279,593.4925942103476
367,480,329.1154482644878,595.5420859820878
368,480,327.6043529621967,597.0531812843784
369,480,326.1346711404952,598.5228631060803
370,480,324.8525825122313,599.8049517343438
371,480,323.60388423008266,601.053650016493
372,480,322.4534653293261,602.2040689172494
373,480,321.34974330800446,603.3077909385712
374,480,319.8204536627975,604.8370805837776
375,480,317.85260450650605,606.8049297400695
376,480,315.7732669417678,608.8842673048075
377,480,313.74228401383635,610.915250232739
378,480,311.3276873774854,613.3298468690899
379,480,309.28834228828885,615.3691919582859
380,480,307.1444641808747,617.5130700657008
381,480,304.90082694642723,619.756707300148
382,480,303.0890390012856,621.5684952452901
383,480,300.8320585004708,623.8254757461049
384,480,298.59823032782725,626.0593039187479
385,480,295.7826188676962,628.8749153788792
386,480,293.5515630359651,631.1059712106102
387,480,291.0615565313756,633.5959777152003
388,480,288.8617442379031,635.7957900086724
389,480,287.04027574844974,637.6172584981256
390,492,328.5957780629637,596.0617561836115
391,480,327.8334721746891,596.8240620718865
392,480,325.85297076010056,598.8045634864756
393,480,324.07538730146257,600.5821469451121
394,480,322.4632966828118,602.1942375637635
395,480,320.95306460555184,603.7044696410233
396,480,319.8919756299991,604.7655586165763
397,480,318.8654282727084,605.792105973867
398,480,317.96967413175685,606.6878601148184
399,480,317.2730250326809,607.3845092138945
400,480,316.61641504162804,608.0411192049476
401,480,315.6463157890716,609.0112184575033
402,480,315.23136719714506,609.4261670494302
403,480,314.83878043509947,609.8187538114755
404,480,314.45526914743726,610.2022650991386
405,480,314.0279618001107,610.6295724464644
406,480,313.6720510529205,610.9854831936544
407,480,312.9970185042822,611.6605157422928
408,480,312.70708551672266,611.4308455177602
409,480,312.37836146686396,611.7595695676187
410,480,312.1613931253265,611.9765379091565
411,480,311.84125118693686,612.296679847546
412,480,311.2715793086613,612.8663517258217
413,480,310.15307722733763,613.9848538071456
414,480,309.1587946916928,614.97913634279
415,480,308.09901103962716,616.0389199948554
416,480,306.7068707963718,617.431060238111
417,480,305.17950662881964,618.9584244056632
418,480,303.90836503016556,620.2295660043173
419,480,302.57771565791575,621.5602153765672
